Madde No,Başlık,İçerik
1,,"(1) Bu Tebliğin amacı ve kapsamı, 29/5/2025 tarihli ve 9903 sayılı Cumhurbaşkanı Kararı ile yürürlüğe konulan Yatırımlarda Devlet Yardımları Hakkında Kararın uygulanmasına ilişkin usul ve esasları belirlemektir. Dayanak"
2,,"(1) Bu Tebliğ, 29/5/2025 tarihli ve 9903 sayılı Cumhurbaşkanı Kararı ile yürürlüğe konulan Yatırımlarda Devlet Yardımları Hakkında Karara dayanılarak hazırlanmıştır. Tanımlar"
3,İKİNCİ BÖLÜM,"(1) Bu Tebliğde geçen; a) Bakan: Sanayi ve Teknoloji Bakanını, b) Bakanlık: Sanayi ve Teknoloji Bakanlığını, c) Diğer harcama: Etüt ve proje harcamaları, teşvik belgesi kapsamı makine ve teçhizatın ithalat ve gümrükleme harcamaları, nakliye, montaj ve sigorta harcamaları, belge konusu yatırım ile ilgili kur farkı ve faiz veya kâr payı harcamaları ile yatırım harcaması niteliğindeki maddi olmayan duran varlık (marka, lisans, know-how ve benzeri) harcamalarının toplamını, ç) Entegrasyon: Mal ve hizmet üreten tesislerin mevcut üretim hatlarında elde edilen nihai ürüne bütünleyici nitelikte ara malı verecek ve/veya üretilmekte olan nihai ürünü ara malı olarak kullanabilecek şekilde, mevcut tesise ileri ve/veya geriye doğru entegre olan, yatırımın konusu ve projenin özelliği dikkate alınarak kaideten aynı il sınırları içinde veya aynı yerde ve aynı tesis bünyesinde olan yatırımları, d) Genel Müdürlük: Teşvik Uygulama ve Yabancı Sermaye Genel Müdürlüğünü, e) Karar: 29/5/2025 tarihli ve 9903 sayılı Cumhurbaşkanı Kararı ile yürürlüğe konulan Yatırımlarda Devlet Yardımları Hakkında Kararı, f) Komite: Bakanlık bünyesinde Bakan onayı ile oluşturulan Stratejik Hamle Programı Değerlendirme Komitesini, g) Komple yeni yatırım: Mal ve hizmet üretimine yönelik olarak ana makine ve teçhizat ile yardımcı tesisleri içeren, gerektiğinde arazi-arsa ve bina-inşaat harcamalarını da ihtiva eden, yatırımın yapılacağı yerde aynı üretim konusunda mevcut tesisi veya mevcut tesisi ile altyapı bütünlüğü bulunmayan yatırımları, ğ) Kullanıcı: Yatırım teşvik belgesine ilişkin iş ve işlemler için bu Tebliğ kapsamındaki yatırımcıdan istenecek bilgileri E-TUYS aracılığıyla yatırımcı adına Genel Müdürlüğe bildirmek üzere yetkilendirilmiş kişileri, h) Kullanım kılavuzu: E-TUYS üzerinden yatırım teşvik belgesine ilişkin her türlü iş ve işlemin kullanıcılar tarafından nasıl gerçekleştirileceğini içeren ve Bakanlık internet sitesinde yer alan dokümanı, ı) Modernizasyon: Mevcut bir tesiste makine ve teçhizatın yenileri ile değiştirilmesini, tesiste eksik kalmış bölümlerin tamamlanmasını, nihai ürünün doğrudan kalitesinin yükseltilmesini, modelinin değiştirilmesini veya üretim ve hizmet süreçlerinin teknolojik iyileştirmelerle verimliliğinin artırılmasını içeren yatırımları, i) Nakil: Mevcut bir tesiste bulunan makine ve teçhizatın teşvik belgesine konu yatırım yerine taşınması durumunu, j) Tevsi: Mevcut bir yatırımda üretim hattı veya makine ve teçhizat ilavesiyle kapasitenin artırılmasına yönelik olan ve mevcut tesis ile alt yapı müşterekliği oluşturarak bir bütün teşkil eden yatırımları, k) Ürün çeşitlendirme: Mevcut tesisler ile altyapı müşterekliği olan, aynı işletmede mevcut makine ve teçhizata yapılacak ilave yatırımla farklı bir nihai ürün elde edilmesine yönelik yatırımları, ifade eder. Genel Esaslar Teşvik belgesi"
4,,"(1) Teşvik belgesi; yatırımın karakteristik değerlerini ihtiva eden, yatırımın bu değerler ve tespit edilen şartlara uygun olarak gerçekleştirilmesi halinde üzerinde kayıtlı destek unsurlarından istifade imkânı sağlayan bir belge olup Kararın amaçlarına uygun olarak gerçekleştirilecek yatırımlar için düzenlenir. (2) Teşvik belgesinin düzenlenmiş olması teşvik belgesi kapsamında gerçekleştirilecek yatırımlarla ilgili olarak diğer mevzuat hükümleri gereği kamu kurum ve kuruluşlarından alınması gerekli izin ve ruhsat gibi belgelerin verilmesi gerekliliğine mesnet teşkil etmeyeceği gibi söz konusu belgelerin temin edilmesi gerekliliğini de ortadan kaldırmaz. Müracaat"
5,,"(1) Gerçek kişiler, adi ortaklıklar, sermaye şirketleri, kooperatifler, birlikler, iş ortaklıkları, kamu kurum ve kuruluşları (genel ve özel bütçeli kurum ve kuruluşlar, il özel idareleri, belediyeler ve kamu iktisadi teşebbüsleri ile bunların sermaye bileşimindeki hisse oranları yüzde elliyi geçen kurum ve kuruluşlar) ile kamu kuruluşu niteliğindeki meslek kuruluşları, dernekler ve vakıflar ile yurt dışındaki yabancı şirketlerin Türkiye’deki şubeleri kullanıcı aracılığıyla Bakanlık internet sitesi vasıtasıyla elektronik ortamda teşvik belgesi düzenlenmesi için müracaat edebilir. (2) Kuruluş süreci tamamlanmamış tüzel kişiler adına yapılacak teşvik belgesi müracaatları değerlendirmeye alınmaz. Müracaat mercii"
6,,(1) Teşvik belgesi ile ilgili her türlü iş ve işlem için kullanıcılar tarafından E-TUYS aracılığıyla Bakanlığa müracaat edilir. Teşvik belgesi müracaat şekli ve müracaatta aranacak belgeler
7,,"(1) Teşvik belgesi düzenlenebilmesi için kullanıcılar tarafından E-TUYS uygulamasında yer alan tanımlı alanların doldurulması ve aşağıda belirtilen belgelerin E-TUYS üzerinden elektronik ortamda yüklenmesi gerekir: a) Kamu kurum ve kuruluşları tarafından yapılacak müracaatlar hariç olmak üzere, 31/5/2006 tarihli ve 5510 sayılı Sosyal Sigortalar ve Genel Sağlık Sigortası Kanunu uyarınca Türkiye genelinde Sosyal Güvenlik Kurumuna muaccel olmuş prim ve idari para cezası borçlarının bulunmadığına veya tecil ve/veya taksitlendirildiğine ya da yapılandırıldığına ve yapılandırmanın bozulmadığına dair Sosyal Güvenlik Kurumunun ilgili birimlerinden alınacak yazı veya Sosyal Güvenlik Kurumunun elektronik bilgi iletişim ortamından alınacak barkodlu belge. b) 29/7/2022 tarihli ve 31907 sayılı Resmî Gazete’de yayımlanan Çevresel Etki Değerlendirmesi Yönetmeliği hükümlerine göre hakkında “Çevresel Etki Değerlendirmesi Olumlu Kararı” veya “Çevresel Etki Değerlendirmesi Gerekli Değildir Kararı” bulunması gereken yatırım konuları için Çevre, Şehircilik ve İklim Değişikliği Bakanlığından alınan çevresel etki değerlendirmesine ilişkin karar ve/veya çevresel etki değerlendirmesine dair karara ilişkin yazı. c) Kapsamı Genel Müdürlükçe belirlenecek yatırımlar için işyeri açma ve çalışma ruhsatı. ç) Teşvik belgesi müracaatında bulunulmadan önce yatırımın karakteristiğine bağlı olarak ilgili mevzuat hükümleri kapsamında gereği diğer kamu kurum ve kuruluşlarından alınması gereken belgeler. d) Yatırım tutarı 1 milyar TL ve üzerinde olan yatırımlar için 17/10/2016 tarihli ve 2016/9495 sayılı Bakanlar Kurulu Kararı ile yürürlüğe konulan Yatırımlara Proje Bazlı Devlet Yardımı Verilmesine İlişkin Kararın EK-1’inde belirtilen formatta hazırlanmış fizibilite raporu. e) Yatırımın konusuna, niteliğine, büyüklüğüne veya teşvik uygulamalarına bağlı olarak Genel Müdürlükçe talep edilebilecek diğer bilgi ve belgeler. (2) Teşvik belgesi ile ilgili iş ve işlemler için kullanıcılar tarafından e-İmza uygulaması çerçevesinde E-TUYS üzerinden yüklenen evrakın Bakanlığa ayrıca ibrazı aranmaz. Kullanıcılar tarafından e-İmza uygulaması kapsamında E-TUYS’a yüklenen her türlü belge ve/veya evrakın eksiksiz bir şekilde muhafaza yükümlülüğü ve denetime karşı hesap verme sorumluluğu, müracaat tarihinden itibaren 10 yıl boyunca yatırımcıya aittir. (3) E-TUYS’ta kayıtlı teşvik belgesi Bakanlık tarafından ilgili kurum ve kuruluşlarla elektronik ortamda paylaşılabilir. Teşvik belgesi ile ilgili müracaatların değerlendirilmesi"
8,,"(1) Teşvik belgesi düzenlenmesi talep edilen yatırım projelerinin; Karar ve Karara istinaden yapılan düzenlemelerde belirtilen şartları sağlaması ve makro ekonomik politikalar, arz-talep dengesi, sektörel, mali ve teknik açıdan yapılacak değerlendirme ve gerektiğinde ilgili kurum, kurul ve kuruluşlardan alınacak görüşler sonucunda uygun bulunması halinde, yatırıma ait teşvik belgesi ile ithal ve yerli makine ve teçhizat listeleri Genel Müdürlükçe onaylanır. (2) Teşvik belgesinin düzenlenmesine mesnet teşkil edecek bilgilerin eksik ve/veya çelişkili olması halinde, yatırımcının müracaatı değerlendirmeye alınmaz. Bu durumun giderilmesine yönelik müracaatlar, en son müracaatın yapıldığı tarihte yürürlükte bulunan mevzuat hükümleri kapsamında değerlendirilir. (3) Teşvik belgesi ile ilgili müracaatların değerlendirilmesi aşamasında tespit edilen eksiklerin tamamlanması için yatırımcıya Genel Müdürlükçe bildirimde bulunulur. Bildirimde eksiklerin tamamlanması için süre belirtilmeyen hallerde bu süre 30 gündür. Süresi içinde belirtilen eksikler tamamlanarak müracaat edilmesi kaydıyla ilk müracaat tarihinde yürürlükte bulunan mevzuat hükümleri kapsamında işlem tesis edilir. (4) Müracaat ekinde ibraz edilen bilgi ve belgelerin doğruluğundan yatırımcılar sorumlu olup, yatırımın herhangi bir aşamasında aksinin tespiti halinde, Genel Müdürlükçe teşvik belgesi iptal edilebileceği gibi belge iptalini gerektirmeyen durumlarda belge kapsamında sağlanan desteklerin ilgili kısmı müeyyide uygulanmak suretiyle geri alınır. (5) Türkiye Yüzyılı Kalkınma Hamlesi kapsamında değerlendirme süreci devam eden yatırım projeleri, yatırımcı talebine istinaden ilgili programa başvuru tarihinden itibaren geçerli olmak kaydıyla Sektörel Teşvik Sistemi kapsamında yer alan diğer teşvik uygulamaları çerçevesinde değerlendirilebilir ve teşvik belgesi düzenlenebilir. Türkiye Yüzyılı Kalkınma Hamlesi kapsamındaki başvurunun olumlu sonuçlanması durumunda Sektörel Teşvik Sistemi kapsamında düzenlenen belgeye ilişkin destekler olumlu sonuçlanan programa uygun olacak şekilde revize edilebilir. (6) Beşinci fıkra hükmü mülga 15/6/2012 tarihli ve 2012/3305 sayılı Bakanlar Kurulu Kararı ile yürürlüğe konulan Yatırımlarda Devlet Yardımları Hakkında Karara istinaden Teknoloji Odaklı Sanayi Hamlesi Programı kapsamında değerlendirme süreci devam eden müracaatlar için Kararın geçici 1 inci maddesi çerçevesinde uygulanır. Teşvik belgesi kapsamında değerlendirilmeyen harcamalar"
9,,"(1) Müracaat tarihinden önce gerçekleştirilmiş bulunan yatırım harcamaları teşvik belgesi kapsamında değerlendirilmez. (2) Teşvik belgesi kapsamında; a) Ham madde, ara malı, işletme malzemesi ve yedek parça, b) Kullanılmış yerli makine ve teçhizat, c) Karayolu nakil vasıtaları ve her türlü binek araçları (sağlık ve belediye hizmetlerinde kullanılan araçlar ile madencilik yatırımlarında, apronda veya limanda kullanılan trafiğe çıkamayacak nitelikte olan araçlar hariç), ç) Havayolu ile yük ve/veya yolcu taşımacılığına yönelik yatırımlar dışındaki diğer yatırımlar için uçak ve helikopter, d) Mevcut makine ve teçhizatın tamir, bakım ve revizyonuna yönelik harcamalar, değerlendirmeye alınmaz. (3) Turizm ve sağlık yatırımlarında odalar ve ortak kullanım alanlarındaki makine ve teçhizat, endüstriyel mutfak ekipmanları, tanı ve tedaviye ilişkin tıbbi cihazlar, çamaşırhane ekipmanları, soğuk hava depoları, ısıtma-soğutma sistemleri (tesisat hariç) ile yangın uyarı ve söndürme sistemleri dışında kalan ekipmanlara makine ve teçhizat listelerinde yer verilmez. (4) Eğitim, kreş ve gündüz bakım evi yatırımlarında derslik, laboratuvar ve ortak alanlarda kullanılan demirbaşlar, endüstriyel mutfak ekipmanları, toplantı ve spor salonu demirbaşları, ısıtma-soğutma sistemleri (tesisat hariç) ile yangın uyarı ve söndürme sistemleri dışında kalan ekipmanlara makine ve teçhizat listelerinde yer verilmez. (5) İkinci fıkrada belirtilenler dışında, teşvik belgesi kapsamında değerlendirilmeyecek harcamalar sektörel özellikler dikkate alınarak proje bazında belirlenir. Kararda belirtilen makine ve teçhizat tanımına uymayan ancak mal ve hizmet üretimine yardımcı niteliği bulunan demirbaşlara makine ve teçhizat listelerinde yer verilebilir. (6) Teşvik belgelerine ait ithal ve yerli makine ve teçhizat listelerinde inşaat malzemelerine yer verilmez. (7) Teşvik belgesi kapsamı yatırımların finansmanında kullanılan kredilere ilişkin faiz giderleri ve döviz kredisi ya da dış kredi ile sabit kıymet temin edilmesi nedeniyle ortaya çıkan kur farklarının, teşvik belgesi kapsamı sabit kıymetin aktifleştirme tarihine kadar maliyete intikal ettirilen kısmı dışında kalan kur farkı ve faiz gideri teşvik belgesi kapsamında yatırım harcaması olarak kabul edilmez. Belirli yatırımlarda aranan nitelikler"
10,,"(1) Güneş enerjisine dayalı elektrik üretimi yatırımlarında; güneş panellerinin üretim süreci ingot dilimleme aşamasından veya öncesindeki bir aşamadan başlayarak yurt içinde üretilmiş hücreden üretilmiş olması ve güneş paneli taşıyıcı konstrüksiyon sistemlerinin yurt içinde üretilmiş olması gerekir. (2) Rüzgâr enerjisine dayalı elektrik üretimi yatırımlarında; kanat ve kulelerin yurt içinde üretilmiş olması, 1/1/2026 tarihi itibarıyla yapılacak müracaatlara istinaden düzenlenmiş teşvik belgeleri kapsamı yatırımlarda ise kanat, kule, jeneratörün veya naselin jeneratörünün yurt içinde üretilmiş olması gerekir. Bu Tebliğin yürürlüğe girdiği tarihten önce gerçekleştirilen Yenilenebilir Enerji Kaynak Alanı (YEKA) ihaleleri sonucu sözleşme imzalama hakkı kazanmış olan ve yine bu tarihten önce ön lisans veya lisans almış olan rüzgâr enerjisine dayalı elektrik üretimi yatırımlarında bu nitelik aranmaz. (3) Veri merkezi yatırımlarına yönelik komple yeni veya tevsi niteliğinde teşvik belgesi düzenlenmesine ilişkin müracaatlarda, TS EN 50600 standardı kapsamında minimum Kullanılabilirlik Sınıfı 3 (AC:3), minimum Koruma Sınıfı 4 (PC:4), minimum Enerji Ayrıntı Seviyesi 3 (GL:3) olan TSE Veri Merkezi Tasarım Belgesinin sunulması gerekir. Teşvik belgesine konu veri merkezinde kısmi hesaplama yapılmayan tam doluluk oranında “Güç Kullanım Etkinliği (PUE)” değerinin azami 1,65 olması ve en az 2 telekom operatörüne ait fiber optik kablonun sonlanması gerekir. Yatırımın tamamlanmasını müteakip, bu fıkrada belirtilen standartların sağlandığına ilişkin TSE Veri Merkezi Tesis Belgesinin sunulması zorunludur. (4) Kararın 9 uncu maddesinin birinci fıkrasının (o) bendi kapsamında değerlendirilen yatırımlarda, bilgi teknolojisi ekipman ve yazılım yatırımlarının kurulacağı veri merkezlerinin TSE Veri Merkezi Operasyon Belgesi bulunması ve bu veri merkezlerinde en az 2 telekom operatörüne ait fiber optik kablonun sonlanması zorunludur. Bu yatırımlar ile kurulacak altyapı birden fazla veri merkezinde yer alabilir. (5) Elektrikli araçlar ve elektronik cihazlar için şarj istasyonlarının işletilmesine yönelik yatırımlara teşvik belgesi düzenlenebilmesi için her bir ünitenin asgari 120 kW hızlı şarj kapasitesine sahip olması gerekir. 1/1/2026 tarihi itibarıyla teşvik belgesi kapsamında temin edilecek ünitelerin yurt içinde üretilmiş olması gerekir. Yatırım cinsleri"
