İl,Yatırım Konusu
Adana,"Teknolojik Tarım Makineleri Üretimi (Akıllı tarım teknolojileriyle entegre edilen tarım makineleri, hassas tarım uygulamalarına yönelik sensör, dijital okuyucu imalatları vb.)"
Adana,"Turunç vb. Meyve Atıklarından Katma Değerli Gıda Üretimi (Pektin, meyve tozu, selüloz vb. ürünler)"
Adana,Sentetik/Taş Kâğıt Üretimi
Adana,Tornalama ve Frezeleme İçin Kesici Uç Üretimi
Adıyaman,Dört Yıldız ve Üzeri Konaklama Tesisi
Adıyaman,Asgari 500 Büyükbaş Kapasiteli Entegre Süt Üretimi ve Süt İşleme Tesisi
Adıyaman,Entegre Mermer İşleme Tesisi
Adıyaman,"Bademin İşlenmesi ve Katma Değeri Yüksek Badem Mamulü Ürünler İmalatı (Badem yağı ve kozmetik ürünler, badem unu ve glütensiz ürünler, badem sütü ve vegan ürünler, badem ezmesi/şekeri/granola/bar vb.)"
Afyonkarahisar,Gıda Kıvam Arttırıcıları/Bitkisel İçerikli Gıda Takviye Ürünleri Üretimi (İnülin vb.)
Afyonkarahisar,"Yüksek Ekonomik Değere Sahip Endüstriyel Süt Ürünleri Üretimi (Çiğ süt, süt asidi, kazein, süt protein izolatı/ süt protein konsantresi, rennet kazein, peynir altı suyu protein izolatı/konsantresi, saf rafine laktoz vb.)"
Afyonkarahisar,Mermer Atıklarından Yapı Malzemeleri vb. Üretimi
Afyonkarahisar,"Jeotermal Kaynaklar ile Su Ürünleri Yetiştiriciliği (Sazan, karides, mikroalg vb.)"
Ağrı,Dört Yıldız ve Üzeri Konaklama Tesisi
Ağrı,Asgari 500 Büyükbaş Kapasiteli Entegre Süt Üretimi ve Süt İşleme Tesisi
Ağrı,Asgari 500 Büyükbaş Kapasiteli Entegre Besi ve Et Ürünleri İşleme Tesisi
Ağrı,"Koyun Yapağı İşleme Tesisi (Yün ipliği, çözgü ipi, temizlenmiş yün üretimi, lanolin vb.)"
Aksaray,Motorlu Kara Taşıtları İçin Airbag Üretimi
Aksaray,"Motosiklet, Moped ve Motorlu Bisiklet Üretimi"
Aksaray,"Motosiklet, Bisiklet ve Skuter Dış Lastiği Üretim Tesisi"
Aksaray,Emniyet Kemeri Üretimi
Amasya,Jeotermal Sera Tesisi (Asgari 50 dekar otomasyon sera)
Amasya,Bitkisel Ham ve Rafine Yağ Üretimi
Amasya,Beş Yıldızlı Konaklama Tesisi
Amasya,Asgari 1000 Büyükbaş Kapasiteli Entegre Süt Üretim ve Süt İşleme Tesisi
Ankara,Medikal Kullanıma Yönelik Enzim ve Boyar Madde Üretimi
Ankara,Havuçtan Beta Karoten ve Bitkilerden Katma Değerli Gıda Takviyesi vb. Üretimi
Ankara,Atık Elektrikli ve Elektronik Eşya (AEEE) Geri Dönüşüm Tesisi
Ankara,"Tıbbi Ürün ve Ambalajları Üretimi (Alüminyum tüpler, cam flakonlar, ampuller vb.)"
Antalya,Sporcu Sağlığı ve Performans Merkezi
Antalya,Katma Değeri Yüksek Tıbbi ve Aromatik Bitkisel Ürünler Üretimi
Antalya,Mikroalg Tabanlı Omega 3 ve Biyogübre Üretimi
Antalya,Organik Sera Atıklarından Selüloz ve/veya Mikrobiyal Gübre Üretim Tesisi
Ardahan,Dört Yıldız ve Üzeri Konaklama Tesisi
Ardahan,Asgari 500 Büyükbaş Kapasiteli Entegre Besi ve Et Ürünleri İşleme Tesisi
Ardahan,Türk Somonu Kuluçkahanesi ve Yavru Üretim Tesisi
Ardahan,Entegre Doğal Taş İşleme Tesisi
Artvin,"Doğa Temelli Turizm Merkezi (Termal sağlık kompleksi, ekoturizm merkezi, macera parkı, apiterapi, konaklama vb.)"
Artvin,"Entegre Su Ürünleri Üretimi ve İşleme Tesisi (Balık yetiştiriciliği, balık fileto, tütsülenmiş balık, balık konserve, panelenmiş balık ürünleri, balık yemi ve/veya diğer hayvan yemleri vb.)"
Artvin,Mikronize Kalsit Üretim Tesisi
Artvin,Tıbbi Aromatik Bitkilerden İlaç ve Gıda Etken Maddelerinin İzolasyonu ve Yüksek Katma Değerli Ürün Üretimi
Aydın,"Tarımsal Yan Ürün ve Atıklardan Katma Değeri Yüksek Tıbbi ve Aromatik Bitkisel Ürünler Üretimi (Kozmetik ürünler, gıda takviyeleri vb.)"
Aydın,Sağlıklı Atıştırmalık Üretimi
Aydın,İncir Konsantresi ve Yüksek Katma Değerli Gıda Ürünleri Üretimi
Aydın,Hassas/Akıllı Tarım Makineleri Üretimi
Balıkesir,S Cam Elyaf Üretimi
Balıkesir,Mermer Atıkları Mikronize Öğütme Tesisi (Mikronize kalsiyum karbonat vb.)
Balıkesir,Yeşil Hidrojen Üretimi
Balıkesir,Asgari 2500 Küçükbaş Kapasiteli Entegre Süt Üretim ve İşleme Tesisi
Bartın,Dört Yıldız ve Üzeri Konaklama Tesisi
Bartın,İş Sağlığı ve Güvenliği Ayakkabısı Üretimi
Bartın,"Deniz Ürünleri İşleme Tesisi (Deniz salyangozu, deniz midyesi, diğer deniz mahsulleri vb.)"
Bartın,Asgari 500 Baş Manda Yetiştiriciliği ve Manda Ürünleri Entegre Üretim Tesisi
Batman,Siklon Olefin Kopolimeri (COC) Üretimi
Batman,Tarımsal Faaliyetlerden Kaynaklanan Atıklardan Selüloz ve/veya Mikrobiyal Gübre Üretim Tesisi
Batman,Sıvı Karbondioksit İşleme Tesisi
Batman,Medikal Estetik ve Sağlık Yaşam Kompleksi
Bayburt,Bayburt Taşı Entegre İşleme Tesisi
Bayburt,Su Paketleme Tesisi
Bayburt,Asgari 1000 Büyükbaş Kapasiteli Entegre Besi ve Et Ürünleri İşleme Tesisi
Bayburt,Bayburt Kop Dağı Kayak Merkezi Konaklama Tesisi
Bilecik,Şerbetçiotu ve Diğer Tıbbi Aromatik Bitkilerden Katma Değeri Yüksek Ürünler Üretim Tesisi
Bilecik,Asgari 2500 Baş Entegre Yarı Entansif Tipte Keçi Yetiştirme ve Keçi Ürünleri İşleme Tesisi
Bilecik,Cam Elyaf Üretim Tesisi
Bilecik,Teknik (İleri) Seramik Ürünleri Üretim Tesisi
Bingöl,Beş Yıldızlı Kış Konaklama Tesisi
Bingöl,Asgari 500 Büyükbaş Kapasiteli Entegre Süt Üretim ve İşleme Tesisi
Bingöl,Asgari 500 Büyükbaş Kapasiteli Entegre Besi ve Et Ürünleri İşleme Tesisi
Bingöl,"Entegre Bal ve Arı Ürünleri Tesisi (Bal paketleme, arı sütü, polen, propolis vb. yenilikçi arı ürünleri üretimi)"
Bitlis,Dondurulmuş Patates ve Patatesten Mamul Ürünler Üretimi
Bitlis,Asgari 500 Baş Kapasiteli Manda Süt Hayvancılığı Yatırımı
Bitlis,Dört Yıldız ve Üzeri Konaklama Tesisi
Bitlis,Asgari 2500 Baş Entegre Yarı Entansif Tipte Keçi Yetiştirme ve Keçi Ürünleri İşleme Tesisi
Bolu,Geriatri Turizm Kompleksi
Bolu,Mikroalglerden Omega 3 Gıda Takviyesi ve Katma Değerli Ürünler Üretimi
Bolu,Likit Yumurta ve Yumurta Tozu Üretimi
Bolu,Modüler Ahşap Mobilya İmalatı
Burdur,Asgari 1000 Baş Yüksek Genetik Kapasiteli Entegre Damızlık Büyükbaş Hayvan Yetiştiriciliği
Burdur,Mermer Atıkları Mikronize Öğütme Tesisi
Burdur,Modüler Mobilya ve Otel/Ofis Mobilyaları Üretimi
Burdur,Çapraz Lamine Ahşap Üretim Tesisi
Bursa,Biyopolimer Üretimi
Bursa,Sismik İzolatör Üretimi
Bursa,Metal İşlemeye Mahsus 5 Eksen İşleme Merkezi Üretimi
Bursa,On-Shore RES için Rüzgar Türbini Üretimi
Çanakkale,"Yüksek Ekonomik Değere Sahip Endüstriyel Süt Ürünleri Üretimi (Çiğ süt, süt asidi, kazein, süt protein izolatı/ süt protein konsantresi, rennet kazein, peynir altı suyu protein izolatı/konsantresi, saf rafine laktoz vb.)"
Çanakkale,Termik Santral Uçucu Küllerinden Değerli Bileşenlerin Ayrıştırılması
Çanakkale,Zeytin Atıklarından Aktif Karbon Üretimi
Çanakkale,Ağaç ve Orman Ürünleri Entegre İşleme Tesisi
Çankırı,"Bentonitten Katma Değerli Alternatif Ürünlerin Üretimi (Döküm kumu, yapı kimyasalları için katkı maddesi vb.)"
Çankırı,"Tuz Hammaddesinden Katma Değerli Kimyasal Ürün Üretimi (Sodyum hidroksit, sodyum hidrosülfit, sodyum bisülfat vb.)"
Çankırı,Motorlu Kara Taşıtları İçin Parça ve Aksesuarların Üretimi
Çankırı,Dört Yıldız ve Üzeri Termal Konaklama ve Sağlık Merkezi
Çorum,"Alaşımlı Döküm Ürünleri Üretimi (Çelik, krom, bi-metal, bronz, pik ve sfero döküm vb.)"
Çorum,"Raylı Sistemler İmalatı (Demir yolu ve tramvay vagonları, yük vagonu bojisi ve bağlantı ekipmanları vb.)"
Çorum,İş Makineleri Üretimi
Çorum,Likit Yumurta ve Yumurta Tozu Üretimi
Denizli,"Ulaşım Araçları Aksam ve Parçalarında Kullanılan Teknik Tekstil Ürünleri Üretimi (Emniyet kemeri kumaşı, tampon yapımında kullanılan plaka vb. ara ürünler)"
Denizli,Termoregülasyon Battaniye ve Teknik Kumaş Üretimi
Denizli,İş Güvenliği Amaçlı Ayakkabı ve Savunma Sanayinde Kullanılan Bot Üretimi
Denizli,Katma Değeri Yüksek Tıbbi ve Aromatik Bitkisel Ürünler Üretimi
Diyarbakır,"Paketli Hazır Gıda Üretimi (Bisküvi, Kek, Gofret ve Peksimet vb.)"
Diyarbakır,Alüminyum Folyo Üretimi
Diyarbakır,Entegre Kumaş Üretimi
Diyarbakır,"Bitkisel Girdilerden Katma Değerli Endüstriyel Gıda Üretimi (Doğal pigment, likopen, Β-karoten, kapsantin, zeaksantin, kapsaisin, antosiyanin, klorofil velutein vb.)"
Düzce,Bitkisel Yağ Üretiminde Oluşan Atık/Yan Ürünlerden Prebiyotik ve Farmakolojik Ürünler Üretimi
Düzce,Sıvıdan Toza Bebek Devam Sütü Üretimi
Düzce,"Doğa Temelli Turizm Merkezi (sağlık kompleksi, ekoturizm merkezi, macera parkı, apiterapi, konaklama vb.)"
Düzce,Ağaç ve Orman Ürünleri Entegre İşleme Tesisi
Edirne,Liyofilize Edilmiş Atık Materyaller ile Üretilen Fonksiyonel Köpek Maması Üretim Tesisi
Edirne,Çeltik Kabuğu ve Sapından Biyoçar ve Katma Değerli Ürünler Üretimi
Edirne,Hassas Tarım Ekipmanları ve Tarım Makineleri Üretimi (Tarımsal amaçlı hasat makineleri vb.)
Edirne,Dirençli Nişasta Üretimi
Elazığ,Entegre Tavuk Eti İşleme ve Katma Değerli Ürünler Üretim Tesisi
Elazığ,"Mermer Atıklarından Mikronize Ürünler, Yapı Malzemeleri vb. Üretimi"
Elazığ,"Hazar Gölü 4 Yıldız veya Üstü Konaklama vb. Tesis (Dalış merkezi, aquapark, kongre merkezi, havuz, binicilik vb.)"
Elazığ,"Üzüm İşleme ve Üzüm Mamulü Katma Değerli Ürünler Üretim Tesisi (Üzüm suyu, sirke, üzüm atıklarından çekirdek yağı, tartarik asit üretimi vb.)"
Erzincan,5 Yıldızlı Kış Konaklama Tesisi
Erzincan,"İşlenmiş ve Dondurulmuş Tavuk Ürünleri Üretimi (Nugget, şnitzel, döner vb.)"
Erzincan,Sıvı Karbondioksit İşleme Tesisi
Erzincan,İşlenmiş ve/veya Dondurulmuş Meyve-Sebze Üretimi
Erzurum,Asgari 1000 Büyükbaş Kapasiteli Entegre Besi ve Et Ürünleri İşleme Tesisi
Erzurum,"Asgari 10 Bin Ton Hububat, Baklagiller ve Yağlı Tohumlar Lisanslı Depo"
Erzurum,"Deriden Katma Değerli Gıda Takviyesi Üretimi (Gıda jelatini, kolajen vb.)"
Erzurum,Ham Deri İşleme Tesisi
Eskişehir,Havacılık Sektöründe Kullanılan Yüksek Alaşımlı Dövme Parçalarının Üretimi
Eskişehir,"Raylı Sistemler Sektöründe Kullanılacak Yeni Nesil ""Akıllı Vagon"" Üretimi"
Eskişehir,Sodyum Silikat ve Zeolit 4A Üretimi
Eskişehir,"Metal İşleyen Takım Tezgahlarının Parça ve Aksesuarlarının İmalatı (Alet tutacakları ve kendinden açılan pafta kafaları, iş tutacakları vb.)"
Gaziantep,Biber Atıklarından Katma Değerli Ürünler Üretimi (Kapsaisin vb.)
Gaziantep,Sitrik Asit Üretimi
Gaziantep,Rejenere İplik Üretimi
Gaziantep,"Orta ve Yüksek Teknolojili Tekstil Makineleri Üretimi (Triko, fikse, büküm makinesi vb.)"
Giresun,"Fındık Kabuğu veya Çay Atıklarından Katma Değerli Ürün Üretimi (Aktif karbon, pelet, kompozit palet vb.)"
Giresun,Kış Turizmi Konaklama Merkezi
Giresun,Modüler Mobilya Üretim Tesisi
Giresun,Çikolata Üretim Tesisi
Gümüşhane,Asgari 1000 Büyükbaş Kapasiteli Entegre Süt Üretimi ve İşleme Tesisi
Gümüşhane,Triploid Alabalık Yumurta ve Yavru Üretim Tesisi
Gümüşhane,Feldspat Cevheri İşleme ve Zenginleştirme Tesisi
Gümüşhane,Mikronize Kalsit vb. Katma Değerli Ürünler Üretimi
Hakkari,Çinko ve Kurşun İzabe Tesisi
Hakkari,Dört Yıldız ve Üzeri Konaklama Tesisi
Hakkari,Su Paketleme Tesisi
Hakkari,"Keratin Üretimi ve Yün İşleme Tesisi (Keratin, yün ipi, lanolin vb.)"
Hatay,Filtre Kağıdı Üretim Tesisi (Yağ/yakıt/hava/toz/endüstriyel baca/jeneratör/hava kurutucu/hidrolik/boru hattı vb. filtre kağıtları)
Hatay,Deri İşleme Tesisi
Hatay,Yıkıntı Atıklarının Geri Kazanımı Tesisi
Hatay,Paslanmaz Hassas Döküm Tesisi
Iğdır,"Meyve-Sebze İşleme ve Kurutma Tesisi (İşlenmiş ve dondurulmuş meyve/sebze, meyve suyu, uçucu yağ vb.)"
Iğdır,"Ambalaj Ürünleri Üretimi Tesisi (Oluklu karton, oluklu olmayan kağıt ambalaj vb.)"
Iğdır,Asgari 1000 Büyükbaş Kapasiteli Entegre Besi ve Et Ürünleri İşleme Tesisi
Iğdır,Dört Yıldız ve Üzeri Konaklama Tesisi
Isparta,Mantar Kompostu Üretim Tesisi
Isparta,Gül ve Diğer Tıbbi ve Aromatik Bitki Özlerinden Katma Değerli Kozmetik Ürünleri Üretim Tesisi
Isparta,"Meyve ve Atıklarından Katma Değerli Ürünler Üretimi (Meyve tozu/granül, pektin, selüloz, hemiselüloz vb.)"
Isparta,Geriatri Turizmi Merkezi
