MahalleAdı,MahalleID
Altıntaş,152391
Atatürk,206232
Bademler Köyü,152597
Balıklıova Köyü,151323
Barbaros Köyü,148543
Birgi Köyü,149252
Camiatik,152820
Çamlıçay,206233
Demircili Köyü,152580
Denizli,150127
Gülbahçe,147568
Güvendik,150929
Hacıisa,150199
İçmeler,206234
İskele,125497
Kadıovacık Köyü,149933
Kalabak,206235
Kuşçular Köyü,151009
Mareşal Fevzi Çakmak,206236
Naipli,149712
Nohutalan Köyü,147545
Ovacık,206237
Özbek,151519
Rüstem,149253
Sıra,152797
Şirinkent,206238
Torasan,206239
Uzunkuyu Köyü,150443
Yağcılar Köyü,150158
Yaka,149254
Yelaltı,150862
Yeni,148693
Yenice,152443
Yenikent,206240
Zeytinalanı Köyü,150900
Zeytineli Köyü,148709
Zeytinler Köyü,151845
